source,target,value,Type
azure,.net,20.93319235,undirected
sql-server,.net,32.32252422,undirected
asp.net,.net,48.40702996,undirected
entity-framework,.net,24.37090251,undirected
wpf,.net,32.35092522,undirected
linq,.net,20.50174386,undirected
wcf,.net,28.07440043,undirected
c#,.net,62.16789504,undirected
tdd,agile,37.14658992,undirected
codeigniter,ajax,23.19190041,undirected
jquery,ajax,50.56672862,undirected
mysql,ajax,24.80008942,undirected
css,ajax,26.61371372,undirected
php,ajax,28.01067926,undirected
javascript,ajax,24.39914442,undirected
json,ajax,32.94744601,undirected
cloud,amazon-web-services,21.3186068,undirected
azure,amazon-web-services,21.30994959,undirected
devops,amazon-web-services,24.9835312,undirected
docker,amazon-web-services,32.19807101,undirected
ios,android,39.77803623,undirected
android-studio,android,33.66108318,undirected
java,android,50.98473077,undirected
android,android-studio,33.66108318,undirected
typescript,angular,31.03648178,undirected
typescript,angular2,38.87998223,undirected
angularjs,angular2,26.03269716,undirected
ionic-framework,angularjs,29.84044577,undirected
reactjs,angularjs,31.6202023,undirected
mongodb,angularjs,31.51071117,undirected
css,angularjs,22.21041304,undirected
sass,angularjs,20.42587842,undirected
twitter-bootstrap,angularjs,24.15368586,undirected
javascript,angularjs,39.37662666,undirected
express,angularjs,24.43382881,undirected
node.js,angularjs,47.56352703,undirected
jquery,angularjs,30.34794743,undirected
asp.net-web-api,angularjs,20.11309966,undirected
angular2,angularjs,26.03269716,undirected
html5,angularjs,23.08266402,undirected
nginx,apache,48.58317346,undirected
mysql,apache,29.09783455,undirected
linux,apache,28.16821301,undirected
scala,apache-spark,50.79184563,undirected
hadoop,apache-spark,59.82678558,undirected
rest,api,22.17558911,undirected
.net,asp.net,48.40702996,undirected
sql,asp.net,21.67226461,undirected
sql-server,asp.net,59.67328949,undirected
c#,asp.net,80.44854217,undirected
asp.net-web-api,asp.net,47.38627216,undirected
jquery,asp.net,28.72317822,undirected
entity-framework,asp.net,48.11366909,undirected
mvc,asp.net,22.82841216,undirected
azure,asp.net,23.764073,undirected
wpf,asp.net,28.15902334,undirected
linq,asp.net,31.58127775,undirected
wcf,asp.net,40.95142173,undirected
vb.net,asp.net,23.71134628,undirected
asp.net,asp.net-web-api,47.38627216,undirected
azure,asp.net-web-api,21.58569476,undirected
c#,asp.net-web-api,26.74882155,undirected
angularjs,asp.net-web-api,20.11309966,undirected
sql-server,asp.net-web-api,25.67647418,undirected
wcf,asp.net-web-api,28.35653543,undirected
entity-framework,asp.net-web-api,31.1834951,undirected
