Id,group,nodesize,Label
html,6,272.45,html
css,6,341.17,css
hibernate,8,29.83,hibernate
spring,8,52.84,spring
ruby,3,70.14,ruby
ruby-on-rails,3,55.31,ruby-on-rails
ios,4,87.46,ios
swift,4,63.62,swift
html5,6,140.18,html5
c,1,189.83,c
c++,1,268.11,c++
asp.net,2,129.55,asp.net
c#,2,321.13,c#
objective-c,4,47.01,objective-c
javascript,6,649.16,javascript
jquery,6,208.29,jquery
redux,3,8.52,redux
reactjs,3,59.03,reactjs
php,6,361.22,php
mysql,6,165.43,mysql
spring-mvc,8,18,spring-mvc
.net,2,75.08,.net
react-native,3,13.61,react-native
spring-boot,8,12.37,spring-boot
less,6,9.73,less
sass,6,30.55,sass
hadoop,10,17.95,hadoop
apache-spark,10,11.04,apache-spark
sql-server,2,64.62,sql-server
express,3,14.27,express
node.js,3,117.36,node.js
mongodb,3,50.95,mongodb
iphone,4,15.29,iphone
github,5,12.71,github
git,5,54.48,git
excel,14,12.5,excel
excel-vba,14,11.38,excel-vba
entity-framework,2,12.88,entity-framework
linq,2,8.32,linq
wcf,2,12.73,wcf
wpf,2,19.38,wpf
android,4,229.86,android
java,8,610.65,java
scala,10,27.02,scala
ajax,6,35.41,ajax
django,1,40.91,django
python,1,438.67,python
vba,14,16.87,vba
xcode,4,11.37,xcode
apache,5,13.17,apache
nginx,5,9.49,nginx
angularjs,6,126.59,angularjs
asp.net-web-api,2,11.28,asp.net-web-api
laravel,6,32.12,laravel
plsql,2,10.32,plsql
oracle,2,30.19,oracle
json,6,25.38,json
xml,6,23.77,xml
flask,1,9.39,flask
wordpress,6,46.74,wordpress
java-ee,8,22.45,java-ee
maven,8,10.3,maven
jsp,8,13.78,jsp
bash,5,23.91,bash
linux,5,108.54,linux
angular2,7,18.79,angular2
typescript,7,17.53,typescript
codeigniter,6,18.71,codeigniter
tdd,12,9.45,tdd
agile,12,12.22,agile
twitter-bootstrap,6,31.05,twitter-bootstrap
web-services,8,18.94,web-services
rest,8,27.08,rest
testing,11,8.95,testing
selenium,11,12.7,selenium
android-studio,4,14.79,android-studio
redis,3,13.85,redis
jenkins,9,10.02,jenkins
docker,9,22.85,docker
amazon-web-services,9,30.05,amazon-web-services
angular,7,29.09,angular
osx,4,12.58,osx
machine-learning,1,44.21,machine-learning
qt,1,10.53,qt
windows,5,19.71,windows
ubuntu,5,11.98,ubuntu
ionic-framework,6,8.44,ionic-framework
elasticsearch,3,10.82,elasticsearch
vue.js,6,8.38,vue.js
r,1,52.7,r
embedded,1,13.27,embedded
go,9,24.84,go
visual-studio,2,18.13,visual-studio
postgresql,3,39.03,postgresql
sql,2,154.23,sql
unix,5,15.67,unix
eclipse,8,11.39,eclipse
vb.net,2,23.56,vb.net
unity3d,2,19.36,unity3d
devops,9,9.81,devops
drupal,6,8.25,drupal
shell,5,11.63,shell
bootstrap,6,13.28,bootstrap
xamarin,2,11.18,xamarin
azure,2,13.68,azure
mvc,2,10.92,mvc
haskell,10,11.18,haskell
api,8,8.61,api
twitter-bootstrap-3,6,10.13,twitter-bootstrap-3
regex,13,9.46,regex
perl,13,19.38,perl
cloud,9,10.66,cloud
photoshop,6,12.62,photoshop
powershell,5,9.85,powershell
matlab,1,27.21,matlab
